case_id,docket_number,court_name,jurisdiction_type,judge_name,filed_date,trial_date,case_type,industry_sector,our_role,opposing_firm_name,opposing_lead_counsel,our_lead_counsel,resolved_via,verdict_for,total_damages_claimed,damages_awarded,pi_motion_outcome,summary_judgment_outcome,trade_secret_profile,appeal_flag,appeal_outcome
C-2014-1000,1:14-cv-1000,N.D. Cal.,federal,Hon. Rebecca L. Ames,2014-09-16,2017-08-12,trade_secret_misappropriation,enterprise_software,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Priya Natarajan,summary_judgment,them,98300211,0,granted,denied,pricing_signals_engine,false,
C-2014-1001,1:14-cv-1001,D. Del.,federal,Hon. Samuel J. Kerr,2014-03-10,2016-11-11,trade_secret_misappropriation,developer_tools,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,settlement,us,83369922,20497965,granted,granted,portfolio_risk_signals,false,
C-2014-1002,1:14-cv-1002,S.D.N.Y.,federal,Hon. Angela P. Rivera,2014-09-09,2018-01-03,trade_secret_misappropriation,biotech,plaintiff,Brighton & Cole,"Mark Hastings",Daniel Cho,trial_verdict,pending,116597127,11178160,granted_in_part,granted,personalization_models,true,reversed
C-2014-1003,1:14-cv-1003,N.D. Ill.,federal,Hon. Lisa K. Monroe,2014-04-08,,trade_secret_misappropriation,adtech,plaintiff,Vance & Webb,"David Vance",Michael Lee,trial_verdict,pending,39125273,7340764,denied,granted,portfolio_risk_signals,false,
C-2014-1004,1:14-cv-1004,C.D. Cal.,federal,Hon. Evelyn S. Park,2014-05-23,2017-09-07,trade_secret_misappropriation,oilfield_services,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Michael Lee,pretrial_dismissal,mixed,149364219,26774256,denied,granted_in_part,autoscaling_strategies,false,
C-2014-1005,1:14-cv-1005,D. Mass.,federal,Hon. Robert T. Hayes,2014-03-02,,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Priya Natarajan,pretrial_dismissal,mixed,108135331,4369607,denied,denied,content_recommendation_models,false,
C-2014-1006,1:14-cv-1006,W.D. Wash.,federal,Hon. Megan L. Chu,2014-07-27,,trade_secret_misappropriation,developer_tools,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Michael Lee,summary_judgment,them,56994985,0,granted_in_part,granted_in_part,lookalike_model_features,false,
C-2014-1007,1:14-cv-1007,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2014-11-21,,trade_secret_misappropriation,biotech,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Priya Natarajan,trial_verdict,mixed,143069766,3870495,granted,granted_in_part,personalization_models,false,
C-2014-1008,1:14-cv-1008,E.D. Tex.,federal,Hon. Carlos M. Ortiz,2014-12-09,2016-06-26,trade_secret_misappropriation,adtech,plaintiff,Vance & Webb,"David Vance",Michael Lee,pretrial_dismissal,mixed,42881676,2455487,denied,denied,source_code; customer_segments,false,
C-2014-1009,1:14-cv-1009,N.D. Cal.,federal,Hon. Rebecca L. Ames,2014-10-22,2016-11-07,trade_secret_misappropriation,healthcare_analytics,plaintiff,Hartley King & Cole,"Julia Hartley",Daniel Cho,pretrial_dismissal,us,101381364,7787724,denied,granted,autoscaling_strategies,true,
C-2014-1010,1:14-cv-1010,D. Del.,federal,Hon. Samuel J. Kerr,2014-04-24,,trade_secret_misappropriation,semiconductors,plaintiff,Brighton & Cole,"Mark Hastings",Michael Lee,pretrial_dismissal,us,145757871,17442928,granted_in_part,denied,personalization_models,true,
C-2014-1011,1:14-cv-1011,S.D.N.Y.,federal,Hon. Angela P. Rivera,2014-01-17,2018-02-23,trade_secret_misappropriation,streaming_media,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,settlement,them,72516202,0,granted,granted_in_part,routing_optimization_engine,false,
C-2014-1012,1:14-cv-1012,N.D. Ill.,federal,Hon. Lisa K. Monroe,2014-04-25,2018-03-28,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Daniel Cho,settlement,mixed,41737107,7729417,denied,granted_in_part,lookalike_model_features,false,
C-2014-1013,1:14-cv-1013,C.D. Cal.,federal,Hon. Evelyn S. Park,2014-10-28,2017-11-12,trade_secret_misappropriation,healthcare_analytics,plaintiff,Brighton & Cole,"Mark Hastings",Priya Natarajan,summary_judgment,mixed,72162678,208646,granted_in_part,granted_in_part,risk_stratification_models,false,
C-2014-1014,1:14-cv-1014,D. Mass.,federal,Hon. Robert T. Hayes,2014-05-05,2017-06-20,trade_secret_misappropriation,enterprise_software,plaintiff,Brighton & Cole,"Mark Hastings",Daniel Cho,summary_judgment,mixed,58638319,6509848,granted_in_part,granted,autoscaling_strategies,false,
C-2014-1015,1:14-cv-1015,W.D. Wash.,federal,Hon. Megan L. Chu,2014-04-23,2016-04-21,trade_secret_misappropriation,enterprise_software,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Michael Lee,pretrial_dismissal,pending,80147705,14624501,denied,granted,portfolio_risk_signals,false,
C-2014-1016,1:14-cv-1016,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2014-08-03,2016-08-17,trade_secret_misappropriation,enterprise_software,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,trial_verdict,pending,138775375,10936862,denied,granted,routing_optimization_engine,true,partially_reversed
C-2014-1017,1:14-cv-1017,E.D. Tex.,federal,Hon. Carlos M. Ortiz,2014-11-03,,trade_secret_misappropriation,adtech,plaintiff,Brighton & Cole,"Mark Hastings",Priya Natarajan,pretrial_dismissal,us,37518332,5304572,granted_in_part,granted,autoscaling_strategies,true,
C-2014-1018,1:14-cv-1018,N.D. Cal.,federal,Hon. Rebecca L. Ames,2014-10-04,2018-11-07,trade_secret_misappropriation,healthcare_analytics,plaintiff,Vance & Webb,"David Vance",Michael Lee,settlement,mixed,137259831,3361506,granted_in_part,denied,autoscaling_strategies,false,
C-2014-1019,1:14-cv-1019,D. Del.,federal,Hon. Samuel J. Kerr,2014-05-15,,trade_secret_misappropriation,semiconductors,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Daniel Cho,summary_judgment,mixed,35539647,6855784,granted_in_part,granted_in_part,source_code; customer_segments,false,
C-2015-1000,1:15-cv-1000,S.D.N.Y.,federal,Hon. Angela P. Rivera,2015-01-02,2018-09-11,trade_secret_misappropriation,oilfield_services,plaintiff,Hartley King & Cole,"Julia Hartley",Michael Lee,trial_verdict,mixed,147037422,20387555,granted_in_part,granted_in_part,source_code; customer_segments,false,
C-2015-1001,1:15-cv-1001,N.D. Ill.,federal,Hon. Lisa K. Monroe,2015-06-28,2017-07-19,trade_secret_misappropriation,healthcare_analytics,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,summary_judgment,us,59062122,11187329,denied,granted,risk_stratification_models,true,reversed
C-2015-1002,1:15-cv-1002,C.D. Cal.,federal,Hon. Evelyn S. Park,2015-01-09,2019-05-12,trade_secret_misappropriation,financial_analytics,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,settlement,them,72988082,0,denied,granted,source_code; customer_segments,false,
C-2015-1003,1:15-cv-1003,D. Mass.,federal,Hon. Robert T. Hayes,2015-12-03,2018-05-14,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Priya Natarajan,pretrial_dismissal,us,34582946,5765517,granted,granted,autoscaling_strategies,true,
C-2015-1004,1:15-cv-1004,W.D. Wash.,federal,Hon. Megan L. Chu,2015-06-24,,trade_secret_misappropriation,enterprise_software,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,pretrial_dismissal,them,40892881,0,granted_in_part,denied,pricing_signals_engine,true,
C-2015-1005,1:15-cv-1005,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2015-01-04,2019-05-15,trade_secret_misappropriation,enterprise_software,plaintiff,Brighton & Cole,"Mark Hastings",Michael Lee,summary_judgment,pending,143500802,12359152,granted,denied,risk_stratification_models,true,reversed
C-2015-1006,1:15-cv-1006,E.D. Tex.,federal,Hon. Carlos M. Ortiz,2015-06-04,2019-01-17,trade_secret_misappropriation,streaming_media,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Michael Lee,trial_verdict,them,80614308,0,granted,granted,content_recommendation_models,true,appeal_pending
C-2015-1007,1:15-cv-1007,N.D. Cal.,federal,Hon. Rebecca L. Ames,2015-02-07,2018-09-27,trade_secret_misappropriation,financial_analytics,plaintiff,Brighton & Cole,"Mark Hastings",Michael Lee,pretrial_dismissal,us,40311755,6809987,denied,granted_in_part,routing_optimization_engine,false,
C-2015-1008,1:15-cv-1008,D. Del.,federal,Hon. Samuel J. Kerr,2015-06-27,2018-11-22,trade_secret_misappropriation,biotech,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,summary_judgment,them,137400113,0,denied,granted,lookalike_model_features,false,
C-2015-1009,1:15-cv-1009,S.D.N.Y.,federal,Hon. Angela P. Rivera,2015-09-05,,trade_secret_misappropriation,logistics,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,pretrial_dismissal,them,100877819,0,granted_in_part,granted,source_code; customer_segments,false,
C-2015-1010,1:15-cv-1010,N.D. Ill.,federal,Hon. Lisa K. Monroe,2015-01-03,2017-05-01,trade_secret_misappropriation,semiconductors,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Michael Lee,settlement,pending,121857662,22014514,denied,denied,autoscaling_strategies,false,
C-2015-1011,1:15-cv-1011,C.D. Cal.,federal,Hon. Evelyn S. Park,2015-01-19,2019-10-03,trade_secret_misappropriation,developer_tools,plaintiff,Hartley King & Cole,"Julia Hartley",Priya Natarajan,summary_judgment,pending,120255997,20086161,granted,granted_in_part,autoscaling_strategies,false,
C-2015-1012,1:15-cv-1012,D. Mass.,federal,Hon. Robert T. Hayes,2015-04-28,,trade_secret_misappropriation,financial_analytics,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Priya Natarajan,summary_judgment,us,22749018,4783743,granted,granted_in_part,portfolio_risk_signals,true,
C-2015-1013,1:15-cv-1013,W.D. Wash.,federal,Hon. Megan L. Chu,2015-07-26,2017-11-05,trade_secret_misappropriation,oilfield_services,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Priya Natarajan,settlement,mixed,52071554,8075384,denied,denied,risk_stratification_models,false,
C-2015-1014,1:15-cv-1014,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2015-12-05,,trade_secret_misappropriation,semiconductors,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,trial_verdict,pending,67348234,6487464,granted_in_part,granted,lookalike_model_features,false,
C-2015-1015,1:15-cv-1015,E.D. Tex.,federal,Hon. Carlos M. Ortiz,2015-10-20,2018-02-23,trade_secret_misappropriation,enterprise_software,plaintiff,Brighton & Cole,"Mark Hastings",Michael Lee,summary_judgment,mixed,93704828,3724438,granted,granted,source_code; customer_segments,false,
C-2015-1016,1:15-cv-1016,N.D. Cal.,federal,Hon. Rebecca L. Ames,2015-06-21,2019-12-20,trade_secret_misappropriation,financial_analytics,plaintiff,Vance & Webb,"David Vance",Priya Natarajan,pretrial_dismissal,them,59780307,0,granted,granted_in_part,lookalike_model_features,false,
C-2015-1017,1:15-cv-1017,D. Del.,federal,Hon. Samuel J. Kerr,2015-01-26,2018-04-15,trade_secret_misappropriation,developer_tools,plaintiff,Vance & Webb,"David Vance",Michael Lee,trial_verdict,us,67855842,8569343,denied,granted,content_recommendation_models,false,
C-2015-1018,1:15-cv-1018,S.D.N.Y.,federal,Hon. Angela P. Rivera,2015-04-08,2019-09-23,trade_secret_misappropriation,financial_analytics,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Daniel Cho,settlement,pending,90291372,14293189,denied,denied,portfolio_risk_signals,false,
C-2015-1019,1:15-cv-1019,N.D. Ill.,federal,Hon. Lisa K. Monroe,2015-02-04,2017-12-01,trade_secret_misappropriation,semiconductors,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Michael Lee,pretrial_dismissal,pending,126212239,1011137,granted_in_part,granted,risk_stratification_models,false,
C-2016-1000,1:16-cv-1000,C.D. Cal.,federal,Hon. Evelyn S. Park,2016-06-03,2020-01-12,trade_secret_misappropriation,oilfield_services,plaintiff,Merritt Shaw LLP,"Sarah Merritt",Priya Natarajan,trial_verdict,them,66691358,0,denied,granted,manufacturing_process_controls,true,affirmed
C-2016-1001,1:16-cv-1001,D. Mass.,federal,Hon. Robert T. Hayes,2016-12-04,,trade_secret_misappropriation,healthcare_analytics,plaintiff,Brighton & Cole,"Mark Hastings",Michael Lee,trial_verdict,mixed,59361087,2380476,granted_in_part,denied,lookalike_model_features,true,
C-2016-1002,1:16-cv-1002,W.D. Wash.,federal,Hon. Megan L. Chu,2016-01-07,2019-05-10,trade_secret_misappropriation,oilfield_services,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,summary_judgment,mixed,145779035,3442028,granted_in_part,denied,routing_optimization_engine,false,
C-2016-1003,1:16-cv-1003,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2016-04-11,2018-03-10,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Hartley King & Cole,"Julia Hartley",Priya Natarajan,trial_verdict,pending,69990993,344765,denied,granted_in_part,routing_optimization_engine,false,
C-2016-1004,1:16-cv-1004,E.D. Tex.,federal,Hon. Carlos M. Ortiz,2016-09-14,,trade_secret_misappropriation,streaming_media,plaintiff,Vance & Webb,"David Vance",Michael Lee,settlement,pending,39096964,709304,granted_in_part,granted,pricing_signals_engine,true,appeal_pending
C-2016-1005,1:16-cv-1005,N.D. Cal.,federal,Hon. Rebecca L. Ames,2016-07-01,2020-06-15,trade_secret_misappropriation,enterprise_software,plaintiff,Hartley King & Cole,"Julia Hartley",Daniel Cho,settlement,mixed,47379111,3111472,granted,denied,risk_stratification_models,false,
C-2016-1006,1:16-cv-1006,D. Del.,federal,Hon. Samuel J. Kerr,2016-12-15,,trade_secret_misappropriation,financial_analytics,plaintiff,Hartley King & Cole,"Julia Hartley",Daniel Cho,pretrial_dismissal,pending,44881374,7607578,denied,denied,routing_optimization_engine,true,remanded_for_settlement_approval
